Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
2,2,4,0.32500187,0.32496291,0.32493598,0.1135,   3/  3,4.21744776
2,3,0,0.21393951,0.15842526,0.15842526,0.6828,   0/  3,4.95176077
2,3,1,0.14504545,0.13189768,0.13189768,0.7347,   0/  3,4.99792051
2,3,2,0.12863458,0.12218666,0.12218666,0.7726,   0/  3,4.99742079
2,3,3,0.12221532,0.11773644,0.11773644,0.7809,   0/  3,4.99082685
2,3,4,0.11972923,0.11883406,0.11773644,0.7804,   1/  3,5.00346684
2,3,5,0.1183354,0.11715061,0.11715061,0.788,   1/  3,4.99376965
2,3,6,0.11724813,0.11616891,0.11616891,0.7848,   1/  3,4.99209642
2,3,7,0.11632549,0.11928696,0.11616891,0.7778,   2/  3,5.00969815
2,3,8,0.11545048,0.11792291,0.11616891,0.7774,   3/  3,5.06339169
2,4,0,0.32527879,0.27888814,0.27888814,0.3229,   0/  3,4.24880409
2,4,1,0.2740677,0.26419348,0.26419348,0.3903,   0/  3,4.28078246
2,4,2,0.26232473,0.26450647,0.26419348,0.3736,   1/  3,4.28489423
2,4,3,0.25987592,0.26001378,0.26001378,0.425,   1/  3,4.28740358
2,4,4,0.23228705,0.22555955,0.22555955,0.3879,   1/  3,4.28312254
2,4,5,0.22145227,0.21771748,0.21771748,0.3909,   1/  3,4.28675032
2,4,6,0.21156335,0.20995791,0.20995791,0.3946,   1/  3,4.28785658
2,4,7,0.20857102,0.20863323,0.20863323,0.4355,   1/  3,4.28848982
2,4,8,0.20468832,0.20373509,0.20373509,0.4572,   1/  3,4.31888366
2,4,9,0.19978759,0.20287867,0.20287867,0.4567,   1/  3,4.38026571
2,4,10,0.19890741,0.20089797,0.20089797,0.4599,   1/  3,4.41145015
2,4,11,0.19830388,0.20288684,0.20089797,0.4707,   2/  3,4.45692754
2,4,12,0.1972781,0.20049157,0.20049157,0.4614,   2/  3,4.58000445
2,4,13,0.19630061,0.20250634,0.20049157,0.4568,   3/  3,4.6700871
2,5,0,0.32485208,0.28566117,0.28566117,0.2714,   0/  3,5.17744327
2,5,1,0.27654127,0.2703296,0.2703296,0.3331,   0/  3,5.19636655
2,5,2,0.26728161,0.26412144,0.26412144,0.3693,   0/  3,5.20721769
2,5,3,0.22746147,0.20771343,0.20771343,0.4058,   0/  3,5.20111632
2,5,4,0.20767834,0.21171367,0.20771343,0.4128,   1/  3,5.20955729
2,5,5,0.20532991,0.20532889,0.20532889,0.4255,   1/  3,5.20463896
2,5,6,0.20396519,0.20339798,0.20339798,0.4186,   1/  3,5.20542693
2,5,7,0.20349237,0.20214441,0.20214441,0.4257,   1/  3,5.21005607
2,5,8,0.20163688,0.20284541,0.20214441,0.4589,   2/  3,5.21266317
2,5,9,0.2004631,0.1998187,0.1998187,0.4726,   2/  3,5.2096467
2,5,10,0.19878269,0.19793323,0.19793323,0.494,   2/  3,5.21419716
2,5,11,0.19726599,0.19691045,0.19691045,0.4752,   2/  3,5.2140913
2,5,12,0.19645348,0.19819419,0.19691045,0.4943,   3/  3,5.2209959
2,6,0,0.28592019,0.22159919,0.22159919,0.4531,   0/  3,3.76005602
2,6,1,0.20034159,0.18126587,0.18126587,0.6483,   0/  3,3.80296254
2,6,2,0.16670103,0.15853727,0.15853727,0.6942,   0/  3,3.8088026
2,6,3,0.15365245,0.15875935,0.15853727,0.6772,   1/  3,3.80355453
2,6,4,0.1472407,0.14479439,0.14479439,0.7154,   1/  3,3.80568957
2,6,5,0.14257348,0.14523436,0.14479439,0.7047,   2/  3,3.80726457
2,6,6,0.13896776,0.14019354,0.14019354,0.7385,   2/  3,3.80799508
2,6,7,0.13768501,0.13576116,0.13576116,0.76,   2/  3,3.81958079
